name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
B.Williams,MUN,DEF,4.0,Available,0,0,0,0.0,0.2
Bailly,MUN,DEF,4.0,Available,0,0,0,0.0,0.2
Casemiro,MUN,MID,5.5,Available,2122,87,10,3.1,3.9
Dalot,MUN,DEF,5.0,Available,2152,102,19,3.9,2.2
Elanga,MUN,MID,5.0,Available,417,23,0,1.4,0.1
Eriksen,MUN,MID,6.0,Available,2046,103,8,3.7,0.5
Fernandez,MUN,DEF,4.0,Available,0,0,0,0.0,0.3
Fred,MUN,MID,5.0,Available,1228,62,2,1.8,0.2
Garnacho,MUN,MID,5.0,Available,557,39,0,2.1,2.0
Hannibal,MUN,MID,4.5,Available,0,0,0,0.0,0.1
Heaton,MUN,GKP,4.0,Available,0,0,0,0.0,0.3
Henderson,MUN,GKP,4.5,Available,1620,82,12,4.6,2.1
Lindelof,MUN,DEF,4.5,Available,1359,57,3,2.9,0.2
Maguire,MUN,DEF,4.5,Available,762,39,2,2.4,0.2
Mainoo,MUN,MID,4.5,Available,10,1,0,1.0,0.0
Malacia,MUN,DEF,4.5,Available,1391,62,8,2.8,0.3
Martial,MUN,FWD,6.5,Available,970,66,4,3.1,0.8
Martinez,MUN,DEF,5.0,Available,2113,81,6,3.0,5.9
McTominay,MUN,MID,5.0,Available,1149,36,2,1.5,0.1
Mengi,MUN,DEF,4.0,Available,0,0,0,0.0,0.1
Pellistri,MUN,MID,4.5,Available,60,4,0,1.0,0.1
R.Varane,MUN,DEF,5.0,Available,1912,77,2,3.2,1.5
Rashford,MUN,MID,9.0,Available,2880,205,21,5.9,41.0
Sancho,MUN,MID,7.0,Available,1683,105,8,4.0,1.6
Shaw,MUN,DEF,5.5,Available,2552,124,20,4.0,34.6
Shoretire,MUN,FWD,4.5,Available,0,0,0,0.0,0.2
Van de Beek,MUN,MID,5.0,Available,162,8,0,1.1,0.1
Wan-Bissaka,MUN,DEF,4.5,Available,1432,67,3,3.5,1.7
Almirón,NEW,MID,6.5,Available,2487,158,15,4.6,5.6
Anderson,NEW,MID,4.5,Available,395,30,2,1.4,2.2
Ashby,NEW,DEF,4.0,Available,0,0,0,0.0,0.2
Botman,NEW,DEF,4.5,Available,3127,129,8,3.6,29.9
Bruno G.,NEW,MID,6.0,Available,2727,107,5,3.3,3.8
Burn,NEW,DEF,4.5,Available,3109,129,6,3.4,3.3
Darlow,NEW,GKP,4.0,Available,0,0,0,0.0,0.2
Dubravka,NEW,GKP,4.0,Available,156,11,1,5.5,0.7
Fraser,NEW,MID,5.0,Available,308,11,0,1.4,0.0
Gillespie,NEW,GKP,4.0,Available,0,0,0,0.0,0.1
Gordon,NEW,MID,5.5,Available,1574,68,5,2.1,0.5
Hayden,NEW,MID,4.5,Available,0,0,0,0.0,0.1
Hendrick,NEW,MID,4.5,Available,0,0,0,0.0,0.1
Isak,NEW,FWD,7.5,Available,1520,100,18,4.5,12.8
Joelinton,NEW,MID,6.0,Available,2660,115,10,3.6,1.2
Krafth,NEW,DEF,4.5,Available,1,1,0,1.0,0.1
Kuol,NEW,MID,4.5,Available,0,0,0,0.0,0.0
Lascelles,NEW,DEF,4.0,Available,214,3,0,0.7,0.3
J.Lewis,NEW,DEF,4.0,Available,9,2,0,1.0,0.2
Longstaff,NEW,MID,5.0,Available,2514,93,2,2.8,0.2
Manquillo,NEW,DEF,4.0,Available,34,4,0,1.0,0.2
Murphy,NEW,MID,5.0,Available,1230,78,2,2.2,0.3
Pope,NEW,GKP,5.5,Available,3261,157,14,4.2,13.7
Ritchie,NEW,MID,4.5,Available,35,7,0,1.0,0.2
Saint-Maximin,NEW,MID,6.0,Available,1109,66,4,2.6,0.9
Schär,NEW,DEF,5.0,Available,3207,139,6,3.9,4.9
Targett,NEW,DEF,4.5,Available,600,35,2,2.1,0.2
Tonali,NEW,MID,5.5,Available,0,0,0,0.0,2.5
Trippier,NEW,DEF,6.5,Available,3342,198,39,5.2,34.1
Watts,NEW,DEF,4.0,Available,0,0,0,0.0,1.1
Willock,NEW,MID,5.5,Available,2556,123,11,3.5,1.1
Wilson,NEW,FWD,8.0,Available,1870,157,20,5.1,10.5
Karius,NEW,GKP,4.0,Available,0,0,0,0.0,0.1
Dummett,NEW,DEF,4.0,Available,0,0,0,0.0,0.1
B.Aguilera,NFO,MID,4.5,Available,0,0,0,0.0,0.1
Arter,NFO,MID,4.5,Available,0,0,0,0.0,0.1
Aurier,NFO,DEF,4.5,Available,1943,70,8,2.9,0.4
Awoniyi,NFO,FWD,6.5,Available,1395,100,16,3.7,1.8
Biancone,NFO,DEF,4.0,Available,15,2,0,1.0,0.2
Boly,NFO,DEF,4.5,Available,684,37,7,3.4,0.2
Bowler,NFO,MID,4.5,Available,0,0,0,0.0,0.0
Cook,NFO,DEF,4.5,Available,956,20,0,1.7,0.1
Danilo,NFO,MID,5.5,Available,976,48,5,3.7,0.2
Dennis,NFO,FWD,5.0,Available,709,39,3,2.1,0.6
Dräger,NFO,DEF,4.0,Available,0,0,0,0.0,0.2
Felipe,NFO,DEF,4.5,Available,1417,25,3,1.6,0.2
Freuler,NFO,MID,5.0,Available,2157,54,0,1.9,0.0
Gibbs-White,NFO,MID,6.0,Available,3151,145,11,3.9,4.3
Hennessey,NFO,GKP,4.0,Available,271,8,0,2.0,1.1
Horvath,NFO,GKP,4.5,Available,0,0,0,0.0,0.3
Johnson,NFO,MID,6.0,Available,2930,122,15,3.2,0.9
Kouyaté,NFO,MID,5.0,Available,871,35,2,1.7,0.0
Laryea,NFO,DEF,4.5,Available,0,0,0,0.0,0.1
Mangala,NFO,MID,5.0,Available,1543,50,0,1.9,0.0
Mbe Soh,NFO,DEF,4.0,Available,0,0,0,0.0,0.1
McKenna,NFO,DEF,4.5,Available,1570,40,0,2.0,0.1
Mighten,NFO,MID,4.5,Available,7,1,0,1.0,0.0
